iter,target,target_x,target_y,start_x,start_y,start_yaw,end_x,end_y,end_yaw,error_cm,arrived,passes
1,red-E,27.8,0.3,28.6,21.7,127,27.9,0.1,-60,0.2,True,1
2,orange-NE,27.7,21.3,27.9,0.1,-61,28.5,21.5,122,0.8,True,1
3,purple-NW,-28.8,21.6,28.5,21.6,122,-25.3,21.3,-140,3.5,True,1
4,red-W,-29.7,1.1,-25.3,21.3,-140,-30.3,0.6,60,0.8,True,1
5,blue-SW,-29.0,-21.3,-30.3,0.6,61,-28.1,-21.5,-127,0.9,True,1
6,green-SE,27.8,-21.2,-28.1,-21.5,-128,27.4,-21.3,-96,0.4,True,2
7,red-E,27.8,0.3,27.5,-21.3,-95,25.8,-0.4,60,2.1,True,1
8,purple-NW,-28.8,21.6,25.8,-0.3,59,-25.1,22.5,-166,3.8,True,1
9,blue-SW,-29.0,-21.3,-25.1,22.5,-165,-29.7,-22.0,-69,1.0,True,1
10,orange-NE,27.7,21.3,-29.7,-22.0,-68,27.7,23.1,-30,1.8,True,2
